colt_TripID,our_Trip_ID,President,Destination_Country,Start_Date,discrepancias
4034-PRY-USA-45222,1295,Santiago Peña,United States,2023-10-22,TripStartDate: nuestra fecha=2023-10-22 vs COLT=2023-10-23 (dif. 1d) | TripEndDate: nuestra fecha=2023-10-25 vs COLT=2023-10-26 (dif. 1d)
4034-PRY-ITA-45256,1298,Santiago Peña,Italy,2023-11-26,TripEndDate: nuestra fecha=2023-11-28 vs COLT=2023-11-27 (dif. 1d)
4034-PRY-ARE-45260,1300,Santiago Peña,United Arab Emirates,2023-11-30,TripEndDate: nuestra fecha=2023-12-01 vs COLT=2023-12-03 (dif. 2d)
4034-PRY-ARG-45268,1302,Santiago Peña,Argentina,2023-12-09,TripStartDate: nuestra fecha=2023-12-09 vs COLT=2023-12-08 (dif. 1d) | TripEndDate: nuestra fecha=2023-12-10 vs COLT=2023-12-11 (dif. 1d)
4034-PRY-GTM-45304,1303,Santiago Peña,Guatemala,2024-01-13,TripEndDate: nuestra fecha=2024-01-14 vs COLT=2024-01-15 (dif. 1d)
4034-PRY-ARG-45336,1305,Santiago Peña,Argentina,2024-02-14,TripEndDate: nuestra fecha=2024-02-14 vs COLT=2024-02-15 (dif. 1d)
4034-PRY-TWN-45429,1309,Santiago Peña,Taiwan,2024-05-18,TripStartDate: nuestra fecha=2024-05-18 vs COLT=2024-05-17 (dif. 1d) | TripEndDate: nuestra fecha=2024-05-22 vs COLT=2024-05-21 (dif. 1d)
4034-PRY-SLV-45443,1311,Santiago Peña,El Salvador,2024-06-01,TripStartDate: nuestra fecha=2024-06-01 vs COLT=2024-05-31 (dif. 1d)
4034-PRY-BOL-45456,1312,Santiago Peña,Bolivia,2024-06-13,TripEndDate: nuestra fecha=2024-06-13 vs COLT=2024-06-14 (dif. 1d)
4034-PRY-FRA-45498,1314,Santiago Peña,France,2024-07-23,TripStartDate: nuestra fecha=2024-07-23 vs COLT=2024-07-25 (dif. 2d) | TripEndDate: nuestra fecha=2024-07-28 vs COLT=2024-07-27 (dif. 1d)
4034-PRY-DOM-45520,1315,Santiago Peña,Dominican Republic,2024-08-15,TripStartDate: nuestra fecha=2024-08-15 vs COLT=2024-08-16 (dif. 1d) | TripEndDate: nuestra fecha=2024-08-17 vs COLT=2024-08-16 (dif. 1d)
4034-PRY-USA-45557,1318,Santiago Peña,United States,2024-09-22,TripEndDate: nuestra fecha=2024-09-28 vs COLT=2024-09-26 (dif. 2d)
4034-PRY-MEX-45566,1319,Santiago Peña,Mexico,2024-09-29,TripStartDate: nuestra fecha=2024-09-29 vs COLT=2024-10-01 (dif. 2d) | TripEndDate: nuestra fecha=2024-10-01 vs COLT=2024-10-02 (dif. 1d)
4034-PRY-BRA-45613,1321,Santiago Peña,Brazil,2024-11-18,TripStartDate: nuestra fecha=2024-11-18 vs COLT=2024-11-17 (dif. 1d)
4034-PRY-URY-45632,1322,Santiago Peña,Uruguay,2024-12-06,TripEndDate: nuestra fecha=2024-12-07 vs COLT=2024-12-06 (dif. 1d)
4034-PRY-FRA-45635,1323,Santiago Peña,France,2024-12-08,TripStartDate: nuestra fecha=2024-12-08 vs COLT=2024-12-09 (dif. 1d)
4034-PRY-ISR-45637,1324,Santiago Peña,Israel,2024-12-11,TripEndDate: nuestra fecha=2024-12-14 vs COLT=2024-12-13 (dif. 1d)
4034-PRY-CHE-45687,1326,Santiago Peña,Switzerland,2025-01-30,TripEndDate: nuestra fecha=2025-02-02 vs COLT=2025-01-31 (dif. 2d)
4034-PRY-USA-45775,1327,Santiago Peña,United States,2025-04-26,TripStartDate: nuestra fecha=2025-04-26 vs COLT=2025-04-28 (dif. 2d) | TripEndDate: nuestra fecha=2025-04-29 vs COLT=2025-04-30 (dif. 1d)
4034-PRY-SGP-45800,1330,Santiago Peña,Singapore,2025-05-20,TripStartDate: nuestra fecha=2025-05-20 vs COLT=2025-05-23 (dif. 3d) | TripEndDate: nuestra fecha=2025-05-22 vs COLT=2025-05-24 (dif. 2d)
4034-PRY-ARE-45801,1331,Santiago Peña,United Arab Emirates,2025-05-23,TripStartDate: nuestra fecha=2025-05-23 vs COLT=2025-05-24 (dif. 1d) | TripEndDate: nuestra fecha=2025-05-25 vs COLT=2025-05-27 (dif. 2d)
4034-PRY-IND-45810,1332,Santiago Peña,India,2025-05-31,TripStartDate: nuestra fecha=2025-05-31 vs COLT=2025-06-02 (dif. 2d) | TripEndDate: nuestra fecha=2025-06-05 vs COLT=2025-06-04 (dif. 1d)
4034-PRY-GBR-45853,1334,Santiago Peña,United Kingdom,2025-07-21,TripStartDate: nuestra fecha=2025-07-21 vs COLT=2025-07-15 (dif. 6d) | TripEndDate: nuestra fecha=2025-07-24 vs COLT=2025-07-19 (dif. 5d)
4034-PRY-FIN-45867,1335,Santiago Peña,Finland,2025-07-28,TripStartDate: nuestra fecha=2025-07-28 vs COLT=2025-07-29 (dif. 1d) | TripEndDate: nuestra fecha=2025-08-02 vs COLT=2025-07-30 (dif. 3d)
4034-PRY-USA-45922,1337,Santiago Peña,United States,2025-09-22,TripEndDate: nuestra fecha=2025-09-26 vs COLT=2025-09-27 (dif. 1d)
4034-PRY-ITA-45942,1338,Santiago Peña,Italy,2025-10-11,TripStartDate: nuestra fecha=2025-10-11 vs COLT=2025-10-12 (dif. 1d) | TripEndDate: nuestra fecha=2025-10-16 vs COLT=2025-10-12 (dif. 4d)
1514-URY-CAN-37000,1351,Jorge Batlle,Canada,2001-04-20,TripStartDate: nuestra fecha=2001-04-20 vs COLT=2001-04-19 (dif. 1d)
1514-URY-USA-37204,1352,Jorge Batlle,United States,2001-11-08,TripStartDate: nuestra fecha=2001-11-08 vs COLT=2001-11-09 (dif. 1d) | TripEndDate: nuestra fecha=2001-11-10 vs COLT=2001-11-11 (dif. 1d)
1514-URY-USA-37730,1358,Jorge Batlle,United States,2003-04-23,TripStartDate: nuestra fecha=2003-04-23 vs COLT=2003-04-19 (dif. 4d) | TripEndDate: nuestra fecha=2003-04-23 vs COLT=2003-04-26 (dif. 3d)
1514-URY-ITA-37905,1362,Jorge Batlle,Italy,2003-10-13,TripStartDate: nuestra fecha=2003-10-13 vs COLT=2003-10-11 (dif. 2d) | TripEndDate: nuestra fecha=2003-10-14 vs COLT=2003-10-13 (dif. 1d)
1514-URY-AGO-37911,1363,Jorge Batlle,Angola,2003-10-15,TripStartDate: nuestra fecha=2003-10-15 vs COLT=2003-10-17 (dif. 2d) | TripEndDate: nuestra fecha=2003-10-17 vs COLT=2003-10-18 (dif. 1d)
1514-URY-MEX-37998,1365,Jorge Batlle,Mexico,2004-01-12,TripEndDate: nuestra fecha=2004-01-13 vs COLT=2004-01-14 (dif. 1d)
1514-URY-ESP-38017,1366,Jorge Batlle,Spain,2004-02-02,TripStartDate: nuestra fecha=2004-02-02 vs COLT=2004-01-31 (dif. 2d) | TripEndDate: nuestra fecha=2004-02-02 vs COLT=2004-02-08 (dif. 6d)
1514-URY-USA-38250,1368,Jorge Batlle,United States,2004-09-22,TripStartDate: nuestra fecha=2004-09-22 vs COLT=2004-09-20 (dif. 2d)
1514-URY-CRI-38309,1369,Jorge Batlle,Costa Rica,2004-11-18,TripEndDate: nuestra fecha=2004-11-20 vs COLT=2004-11-19 (dif. 1d)
2029-URY-BRA-38443,1371,Tabaré Vázquez,Brazil,2005-03-31,TripStartDate: nuestra fecha=2005-03-31 vs COLT=2005-04-01 (dif. 1d)
2029-URY-ESP-38637,1373,Tabaré Vázquez,Spain,2005-10-13,TripStartDate: nuestra fecha=2005-10-13 vs COLT=2005-10-12 (dif. 1d) | TripEndDate: nuestra fecha=2005-10-15 vs COLT=2005-10-14 (dif. 1d)
2029-URY-DEU-38639,1374,Tabaré Vázquez,Germany,2005-10-16,TripStartDate: nuestra fecha=2005-10-16 vs COLT=2005-10-14 (dif. 2d) | TripEndDate: nuestra fecha=2005-10-17 vs COLT=2005-10-18 (dif. 1d)
2029-URY-ITA-38643,1375,Tabaré Vázquez,Italy,2005-10-18,TripEndDate: nuestra fecha=2005-10-19 vs COLT=2005-10-24 (dif. 5d)
2029-URY-FRA-38649,1376,Tabaré Vázquez,France,2005-10-20,TripStartDate: nuestra fecha=2005-10-20 vs COLT=2005-10-24 (dif. 4d) | TripEndDate: nuestra fecha=2005-10-22 vs COLT=2005-10-27 (dif. 5d)
2029-URY-MEX-38832,1378,Tabaré Vázquez,Mexico,2006-04-26,TripStartDate: nuestra fecha=2006-04-26 vs COLT=2006-04-25 (dif. 1d)
2029-URY-USA-38836,1379,Tabaré Vázquez,United States,2006-05-03,TripStartDate: nuestra fecha=2006-05-03 vs COLT=2006-04-29 (dif. 4d)
2029-URY-AUT-38848,1380,Tabaré Vázquez,Austria,2006-05-11,TripEndDate: nuestra fecha=2006-05-13 vs COLT=2006-05-12 (dif. 1d)
