"TripID","TripStartDate","Periodo5","CountryVisited","presidente_origen","ideology_origen","Mandato_asignado_inicio","Mandato_asignado_fin","ideology_destino","presidente_destino","bloque_origen","bloque_destino","misma_ideologia"
"2320-ARG-URY-40784",2011-08-29,2010,"Uruguay","Cristina Fernandez1",2.5,2010-03-01,2015-03-01,2.5,"Jose Alberto Mujica Cordano","Izquierda","Izquierda",TRUE
"2320-ARG-BOL-41107",2012-07-17,2010,"Bolivia","Cristina Fernandez2",1.89999997615814,2010-01-22,2015-01-22,2.90000009536743,"Juan Evo Morales Ayma2","Izquierda","Izquierda",TRUE
"2320-ARG-COL-41473",2013-07-18,2010,"Colombia","Cristina Fernandez2",1.89999997615814,2010-08-07,2014-08-07,4.57000017166138,"Juan Manuel Santos Calderon","Izquierda","Centro",FALSE
"2320-ARG-URY-41513",2013-08-27,2010,"Uruguay","Cristina Fernandez2",1.89999997615814,2010-03-01,2015-03-01,2.5,"Jose Alberto Mujica Cordano","Izquierda","Izquierda",TRUE
"2320-ARG-PRY-41864",2014-08-13,2010,"Paraguay","Cristina Fernandez2",1.89999997615814,2013-08-15,2018-08-15,5.59999990463257,"Horacio Manuel Cartes Jara","Izquierda","Derecha",FALSE
"3169-ARG-URY-42376",2016-01-07,2015,"Uruguay","Mauricio Macri",6.3,2015-03-01,2020-03-01,2.83,"Tabaré Vázquez","Derecha","Izquierda",FALSE
"3169-ARG-COL-42640",2016-09-27,2015,"Colombia","Mauricio Macri",6.3,2014-08-07,2018-08-07,5,"Juan Manuel Santos Calderon2","Derecha","Derecha",TRUE
"3169-ARG-BRA-42773",2017-02-07,2015,"Brazil","Mauricio Macri",6.3,2016-08-31,2019-01-01,5.1,"Michel Temmer","Derecha","Derecha",TRUE
"3169-ARG-PRY-42810",2017-03-16,2015,"Paraguay","Mauricio Macri",6.3,2013-08-15,2018-08-15,5.59999990463257,"Horacio Manuel Cartes Jara","Derecha","Derecha",TRUE
"3169-ARG-CHL-42913",2017-06-27,2015,"Chile","Mauricio Macri",6.3,2014-03-11,2018-03-11,2.9,"Michelle Bachelet","Derecha","Izquierda",FALSE
"3169-ARG-CHL-43170",2018-03-11,2015,"Chile","Mauricio Macri",6.3,2018-03-11,2022-03-11,5.81,"Sebastián Piñera2","Derecha","Derecha",TRUE
"3169-ARG-COL-43319",2018-08-07,2015,"Colombia","Mauricio Macri",6.3,2018-08-07,2022-08-07,6,"Iván Duque Márquez","Derecha","Derecha",TRUE
"3169-ARG-BRA-43481",2019-01-16,2015,"Brazil","Mauricio Macri",6.3,2019-01-01,2023-01-01,6.6,"Jair Messias Bolsonaro","Derecha","Derecha",TRUE
"3169-ARG-URY-43509",2019-02-13,2015,"Uruguay","Mauricio Macri",6.3,2015-03-01,2020-03-01,2.83,"Tabaré Vázquez","Derecha","Izquierda",FALSE
"3670-ARG-URY-44154",2020-11-19,2020,"Uruguay","Alberto Fernandez",3,2020-03-01,2025-03-01,5.83,"Luis Alberto Lacalle Pou","Centro","Derecha",FALSE
"3670-ARG-CHL-44222",2021-01-26,2020,"Chile","Alberto Fernandez",3,2018-03-11,2022-03-11,5.81,"Sebastián Piñera2","Centro","Derecha",FALSE
"3670-ARG-PRY-44711",2022-05-30,2020,"Paraguay","Alberto Fernandez",3,2018-08-15,2023-08-15,6.6,"Mario Abdo Beníte","Centro","Derecha",FALSE
"3670-ARG-COL-44779",2022-08-06,2020,"Colombia","Alberto Fernandez",3,2018-08-07,2022-08-07,6,"Iván Duque Márquez","Centro","Derecha",FALSE
"3670-ARG-BOL-45078",2023-06-01,2020,"Bolivia","Alberto Fernandez",3,2020-11-08,2025-11-08,5,"Luis Arce","Centro","Derecha",FALSE
"3670-ARG-PRY-45152",2023-08-14,2020,"Paraguay","Alberto Fernandez",3,2018-08-15,2023-08-15,6.6,"Mario Abdo Beníte","Centro","Derecha",FALSE
"3670-ARG-URY-45226",2023-10-27,2020,"Uruguay","Alberto Fernandez",3,2020-03-01,2025-03-01,5.83,"Luis Alberto Lacalle Pou","Centro","Derecha",FALSE
"840-BOL-ARG-34410",1994-03-17,1990,"Argentina","Gonzalo Sanchez de Lozada",5.90000009536743,1989-07-08,1995-07-08,6.09999990463257,"Carlos Saul Menem1","Derecha","Derecha",TRUE
"1871-BOL-ARG-38098",2004-04-21,2000,"Argentina","Carlos Diego Mesa Gisbert",4.5,2003-05-25,2007-12-10,2.79999995231628,"Nestor Carlos Kirchner","Centro","Izquierda",FALSE
"2117-BOL-ARG-38897",2006-06-29,2005,"Argentina","Juan Evo Morales Ayma1",2.20000004768372,2003-05-25,2007-12-10,2.79999995231628,"Nestor Carlos Kirchner","Izquierda","Izquierda",TRUE
