"Periodo5","bloque_origen","pct_misma","n","pct_oferta","pct_esperado","indice_homofilia"
1990,"Centro",35.2941176470588,17,0.511627906976744,51.1627906976744,0.689839572192513
1990,"Derecha",38.4615384615385,26,0.488372093023256,48.8372093023256,0.787545787545788
1995,"Izquierda",0,2,0.0136986301369863,1.36986301369863,0
1995,"Centro",43.1578947368421,95,0.525114155251142,52.5114155251142,0.82187643020595
1995,"Derecha",37.7049180327869,122,0.461187214611872,46.1187214611872,0.81756208407726
2000,"Izquierda",30.4347826086957,69,0.264084507042254,26.4084507042254,1.15246376811594
2000,"Centro",34.3434343434343,99,0.390845070422535,39.0845070422535,0.878696878696879
2000,"Derecha",31.0344827586207,116,0.345070422535211,34.5070422535211,0.899366643209008
2005,"Izquierda",71.3780918727915,283,0.700712589073634,70.0712589073634,1.01865005689645
2005,"Centro",25.5555555555556,90,0.209026128266033,20.9026128266033,1.22260101010101
2005,"Derecha",12.5,48,0.0902612826603325,9.02612826603325,1.38486842105263
2010,"Izquierda",62.6459143968872,257,0.578534031413613,57.8534031413613,1.08283888233533
2010,"Centro",30.1369863013699,73,0.287958115183246,28.7958115183246,1.04657534246575
2010,"Derecha",19.2307692307692,52,0.133507853403141,13.3507853403141,1.44042232277526
2015,"Izquierda",19.2307692307692,52,0.20353982300885,20.353982300885,0.944816053511706
2015,"Centro",22.2222222222222,54,0.238938053097345,23.8938053097345,0.930041152263374
2015,"Derecha",60.8333333333333,120,0.557522123893805,55.7522123893805,1.09113756613757
2020,"Centro",8.33333333333333,12,0.26984126984127,26.984126984127,0.308823529411765
2020,"Derecha",68.6274509803922,51,0.73015873015873,73.015873015873,0.939897698209719
