"Periodo5","bloque_origen","pct_misma","n","pct_oferta","pct_esperado","indice_homofilia"
1990,"Centro",33.3333333333333,6,0.461538461538462,46.1538461538462,0.722222222222222
1990,"Derecha",42.8571428571429,7,0.538461538461538,53.8461538461538,0.795918367346939
1995,"Izquierda",0,1,0.028169014084507,2.8169014084507,0
1995,"Centro",51.6129032258064,31,0.549295774647887,54.9295774647887,0.939619520264681
1995,"Derecha",38.4615384615385,39,0.422535211267606,42.2535211267606,0.91025641025641
2000,"Izquierda",34.4827586206897,29,0.344086021505376,34.4086021505376,1.00215517241379
2000,"Centro",27.027027027027,37,0.301075268817204,30.1075268817204,0.897683397683398
2000,"Derecha",33.3333333333333,27,0.354838709677419,35.4838709677419,0.939393939393939
2005,"Izquierda",68.75,112,0.668789808917197,66.8789808917197,1.02797619047619
2005,"Centro",26.9230769230769,26,0.191082802547771,19.1082802547771,1.40897435897436
2005,"Derecha",15.7894736842105,19,0.140127388535032,14.0127388535032,1.12679425837321
2010,"Izquierda",69.4444444444444,72,0.666666666666667,66.6666666666667,1.04166666666667
2010,"Centro",18.5185185185185,27,0.2,20,0.925925925925926
2010,"Derecha",19.047619047619,21,0.133333333333333,13.3333333333333,1.42857142857143
2015,"Izquierda",35.7142857142857,14,0.195402298850575,19.5402298850575,1.82773109243697
2015,"Centro",26.3157894736842,19,0.195402298850575,19.5402298850575,1.34674922600619
2015,"Derecha",68.5185185185185,54,0.609195402298851,60.9195402298851,1.12473794549266
2020,"Centro",0,7,0.15625,15.625,0
2020,"Derecha",80,25,0.84375,84.375,0.948148148148148
