"Pais","Mandatario (periodo)","Total viajes","Sudamerica","Resto Latam y Caribe","Estados Unidos","Resto Norteamerica","Europa","Asia","Africa","Otras (Oceania, etc.)"
"Paraguay","Fernando Lugo (2008-2012)",76,"59%","14%","7%","0%","7%","13%","0%","0%"
"Paraguay","Horacio Cartes (2013-2018)",70,"51%","9%","9%","0%","20%","11%","0%","0%"
"Paraguay","Juan Carlos Wasmosy (1993-1998)",57,"65%","7%","5%","0%","16%","7%","0%","0%"
"Paraguay","Luis Angel Gonzalez Macchi (1999-2003)",31,"65%","16%","6%","3%","3%","6%","0%","0%"
"Paraguay","Mario Abdo Benitez (2018-2023)",59,"56%","8%","12%","0%","15%","8%","0%","0%"
"Paraguay","Nicanor Duarte (2003-2008)",60,"62%","8%","7%","0%","15%","7%","2%","0%"
"Paraguay","Raul Cubas Grau (1998-1999)",4,"100%","0%","0%","0%","0%","0%","0%","0%"
"Paraguay","Santiago Pena (2023-2099)",62,"32%","11%","15%","0%","26%","15%","2%","0%"
"Peru","Alan Garcia (1985-1990; 2006-2011)",40,"50%","8%","10%","0%","12%","18%","0%","2%"
"Peru","Alberto Fujimori (1990-2000)",93,"43%","9%","12%","3%","10%","20%","1%","2%"
"Peru","Alejandro Toledo (2001-2006)",61,"43%","7%","18%","0%","23%","10%","0%","0%"
"Peru","Dina Boluarte (2022-2025)",17,"18%","0%","24%","0%","41%","18%","0%","0%"
"Peru","Jose Jeri (2025-2026)",1,"100%","0%","0%","0%","0%","0%","0%","0%"
"Peru","Martin Vizcarra (2018-2020)",16,"50%","25%","12%","0%","12%","0%","0%","0%"
"Peru","Ollanta Humala (2011-2016)",67,"34%","12%","9%","1%","28%","15%","0%","0%"
"Peru","Pedro Castillo (2021-2022)",10,"60%","10%","30%","0%","0%","0%","0%","0%"
"Peru","Pedro Pablo Kuczynski (2016-2018)",14,"50%","0%","14%","0%","21%","14%","0%","0%"
"Surinam","Chandrikapersad Santokhi (2020-2025)",45,"20%","33%","16%","2%","13%","13%","2%","0%"
"Surinam","Desi Bouterse (2010-2020)",38,"47%","37%","5%","0%","0%","5%","5%","0%"
"Surinam","Jennifer Geerlings-Simons (2025-2099)",3,"33%","0%","33%","0%","33%","0%","0%","0%"
"Surinam","Jules Wijdenbosch (1996-2000)",15,"0%","80%","7%","0%","0%","13%","0%","0%"
"Surinam","Ronald Venetiaan (1991-1996; 2000-2010)",40,"18%","50%","12%","2%","5%","8%","5%","0%"
"Uruguay","Jorge Batlle (2000-2005)",56,"45%","20%","20%","2%","5%","4%","5%","0%"
"Uruguay","Jose Mujica (2010-2015)",82,"78%","6%","2%","0%","12%","1%","0%","0%"
"Uruguay","Julio Maria Sanguinetti (1985-1990; 1995-2000)",33,"45%","15%","9%","0%","12%","12%","6%","0%"
"Uruguay","Luis Alberto Lacalle (1990-1995)",4,"50%","0%","50%","0%","0%","0%","0%","0%"
"Uruguay","Luis Lacalle Pou (2020-2025)",36,"53%","11%","14%","0%","8%","11%","3%","0%"
"Uruguay","Tabare Vazquez (2005-2010; 2015-2020)",110,"51%","10%","8%","0%","17%","11%","1%","2%"
"Uruguay","Yamandu Orsi (2025-2099)",14,"36%","14%","7%","0%","29%","0%","7%","7%"
"Venezuela","Hugo Chavez (1999-2013)",344,"36%","26%","4%","1%","15%","15%","5%","0%"
"Venezuela","Nicolas Maduro (2013-2099)",117,"19%","40%","3%","0%","9%","24%","4%","0%"
"Venezuela","Rafael Caldera (1994-1999)",33,"45%","12%","12%","0%","30%","0%","0%","0%"
